job_key,action_type_key,context_key,payable_type_key,amount,currency
modularjobs:miner,modularjobs:block_break,minecraft:stone,modularjobs:experience,1,
modularjobs:miner,modularjobs:block_break,minecraft:stone,modularjobs:economy,0.1,
modularjobs:miner,modularjobs:block_break,minecraft:cobblestone,modularjobs:experience,1,
modularjobs:miner,modularjobs:block_break,minecraft:cobblestone,modularjobs:economy,0.1,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate,modularjobs:experience,2,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate,modularjobs:economy,0.15,
modularjobs:miner,modularjobs:block_break,minecraft:cobbled_deepslate,modularjobs:experience,2,
modularjobs:miner,modularjobs:block_break,minecraft:cobbled_deepslate,modularjobs:economy,0.15,
modularjobs:miner,modularjobs:block_break,minecraft:granite,modularjobs:experience,1,
modularjobs:miner,modularjobs:block_break,minecraft:granite,modularjobs:economy,0.1,
modularjobs:miner,modularjobs:block_break,minecraft:diorite,modularjobs:experience,1,
modularjobs:miner,modularjobs:block_break,minecraft:diorite,modularjobs:economy,0.1,
modularjobs:miner,modularjobs:block_break,minecraft:andesite,modularjobs:experience,1,
modularjobs:miner,modularjobs:block_break,minecraft:andesite,modularjobs:economy,0.1,
modularjobs:miner,modularjobs:block_break,minecraft:tuff,modularjobs:experience,2,
modularjobs:miner,modularjobs:block_break,minecraft:tuff,modularjobs:economy,0.15,
modularjobs:miner,modularjobs:block_break,minecraft:calcite,modularjobs:experience,2,
modularjobs:miner,modularjobs:block_break,minecraft:calcite,modularjobs:economy,0.2,
modularjobs:miner,modularjobs:block_break,minecraft:dripstone_block,modularjobs:experience,2,
modularjobs:miner,modularjobs:block_break,minecraft:dripstone_block,modularjobs:economy,0.2,
modularjobs:miner,modularjobs:block_break,minecraft:coal_ore,modularjobs:experience,5,
modularjobs:miner,modularjobs:block_break,minecraft:coal_ore,modularjobs:economy,1,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_coal_ore,modularjobs:experience,7,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_coal_ore,modularjobs:economy,1.5,
modularjobs:miner,modularjobs:block_break,minecraft:iron_ore,modularjobs:experience,10,
modularjobs:miner,modularjobs:block_break,minecraft:iron_ore,modularjobs:economy,3,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_iron_ore,modularjobs:experience,12,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_iron_ore,modularjobs:economy,4,
modularjobs:miner,modularjobs:block_break,minecraft:copper_ore,modularjobs:experience,8,
modularjobs:miner,modularjobs:block_break,minecraft:copper_ore,modularjobs:economy,2,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_copper_ore,modularjobs:experience,10,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_copper_ore,modularjobs:economy,2.5,
modularjobs:miner,modularjobs:block_break,minecraft:gold_ore,modularjobs:experience,20,
modularjobs:miner,modularjobs:block_break,minecraft:gold_ore,modularjobs:economy,8,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_gold_ore,modularjobs:experience,25,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_gold_ore,modularjobs:economy,10,
modularjobs:miner,modularjobs:block_break,minecraft:nether_gold_ore,modularjobs:experience,15,
modularjobs:miner,modularjobs:block_break,minecraft:nether_gold_ore,modularjobs:economy,6,
modularjobs:miner,modularjobs:block_break,minecraft:redstone_ore,modularjobs:experience,15,
modularjobs:miner,modularjobs:block_break,minecraft:redstone_ore,modularjobs:economy,5,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_redstone_ore,modularjobs:experience,18,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_redstone_ore,modularjobs:economy,6,
modularjobs:miner,modularjobs:block_break,minecraft:lapis_ore,modularjobs:experience,20,
modularjobs:miner,modularjobs:block_break,minecraft:lapis_ore,modularjobs:economy,7,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_lapis_ore,modularjobs:experience,25,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_lapis_ore,modularjobs:economy,9,
modularjobs:miner,modularjobs:block_break,minecraft:diamond_ore,modularjobs:experience,50,
modularjobs:miner,modularjobs:block_break,minecraft:diamond_ore,modularjobs:economy,25,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_diamond_ore,modularjobs:experience,60,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_diamond_ore,modularjobs:economy,30,
modularjobs:miner,modularjobs:block_break,minecraft:emerald_ore,modularjobs:experience,75,
modularjobs:miner,modularjobs:block_break,minecraft:emerald_ore,modularjobs:economy,40,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_emerald_ore,modularjobs:experience,90,
modularjobs:miner,modularjobs:block_break,minecraft:deepslate_emerald_ore,modularjobs:economy,50,
modularjobs:miner,modularjobs:block_break,minecraft:nether_quartz_ore,modularjobs:experience,12,
modularjobs:miner,modularjobs:block_break,minecraft:nether_quartz_ore,modularjobs:economy,4,
modularjobs:miner,modularjobs:block_break,minecraft:ancient_debris,modularjobs:experience,150,
modularjobs:miner,modularjobs:block_break,minecraft:ancient_debris,modularjobs:economy,100,
modularjobs:miner,modularjobs:block_break,minecraft:obsidian,modularjobs:experience,25,
modularjobs:miner,modularjobs:block_break,minecraft:obsidian,modularjobs:economy,10,
modularjobs:miner,modularjobs:block_break,minecraft:crying_obsidian,modularjobs:experience,30,
modularjobs:miner,modularjobs:block_break,minecraft:crying_obsidian,modularjobs:economy,15,
modularjobs:miner,modularjobs:block_break,minecraft:glowstone,modularjobs:experience,8,
modularjobs:miner,modularjobs:block_break,minecraft:glowstone,modularjobs:economy,3,
modularjobs:miner,modularjobs:block_break,minecraft:netherrack,modularjobs:experience,1,
modularjobs:miner,modularjobs:block_break,minecraft:netherrack,modularjobs:economy,0.05,
modularjobs:miner,modularjobs:block_break,minecraft:basalt,modularjobs:experience,2,
modularjobs:miner,modularjobs:block_break,minecraft:basalt,modularjobs:economy,0.15,
modularjobs:miner,modularjobs:block_break,minecraft:blackstone,modularjobs:experience,3,
modularjobs:miner,modularjobs:block_break,minecraft:blackstone,modularjobs:economy,0.2,
modularjobs:miner,modularjobs:block_break,minecraft:end_stone,modularjobs:experience,5,
modularjobs:miner,modularjobs:block_break,minecraft:end_stone,modularjobs:economy,1,
modularjobs:miner,modularjobs:block_break,minecraft:amethyst_block,modularjobs:experience,10,
modularjobs:miner,modularjobs:block_break,minecraft:amethyst_block,modularjobs:economy,3,
modularjobs:miner,modularjobs:block_break,minecraft:budding_amethyst,modularjobs:experience,20,
modularjobs:miner,modularjobs:block_break,minecraft:budding_amethyst,modularjobs:economy,8,
